,name,cost,level,quantity,total_time,nb_of_ingredients,length_ingredients,beurre,oignon,oeuf,type
623,Pintade au foie gras et fricassée forestière,3,3,6,120,15,422,40,No,0,Plat principal
624,Sauce aux mousserons,2,1,2,15,7,139,0,Yes,0,Sauce
625,Quenelles aux mousserons,2,1,2,40,5,147,0,No,0,Accompagnement
626,Tarte aux mousserons,1,1,6,65,9,163,40,Yes,0,Entrée
627,Cassolettes de moules aux mousserons,1,2,4,45,11,221,100,No,0,Entrée
628,muffins au son,1,1,4,30,8,174,0,No,1,Accompagnement
629,Muffins aux pommes,2,1,16,35,10,196,50,No,2,Dessert
631,Muffins de Sandrine,2,1,15,40,10,232,180,No,3,Dessert
636,Moussaka,2,1,6,85,20,420,30,Yes,2,Plat principal
637,Moussaka rapide,2,2,4,60,13,309,0,Yes,0,Plat principal
638,ma moussaka rapide,1,1,4,25,11,205,0,Yes,0,Plat principal
639,Moussaka facile,2,2,6,80,14,240,0,Yes,0,Plat principal
640,La Vraie Moussaka Grecque,3,1,4,175,15,327,20,Yes,500,Plat principal
641,Nems (frits),3,2,6,95,14,342,0,Yes,3,Entrée
642,Nems à la Vietnamienne,3,1,45,130,11,307,0,Yes,2,Entrée
643,Nems aux fromages,2,1,5,75,5,117,0,No,0,Entrée
644,Nems de légumes,1,1,5,40,6,121,0,No,0,Accompagnement
645,Oeuf cocotte au bacon,2,1,4,25,7,140,4,No,4,Entrée
647,Gigot en cocotte,2,2,6,140,10,227,0,Yes,0,Plat principal
648,Cocotte indienne,2,2,4,50,13,259,0,Yes,0,Plat principal
652,"Poulet à la moutarde, à l'estragon et aux champignons",1,1,2,40,10,290,0,No,0,Plat principal
654,Pain d'épices,2,2,6,90,12,354,0,No,2,Dessert
655,Pancakes,1,1,4,14,7,157,65,No,2,Dessert
656,Pancakes faciles et rapides,1,1,2,15,6,165,0,No,1,Dessert
657,Pancakes faciles,1,1,4,14,4,116,0,No,2,Dessert
658,Pancakes rapides,1,1,2,20,6,140,0,No,2,Dessert
659,Pannacotta au toblerone,1,1,4,15,3,83,0,No,0,Dessert
660,Pannacotta fromage frais saumon fumé,1,1,6,30,7,199,0,No,0,Entrée
661,Panna cotta mozzarella et confiture de tomate,2,1,4,60,9,225,0,No,0,Dessert
662,Papillote de saumon à la mozzarella,2,2,2,50,10,199,0,No,0,Plat principal
663,Papillotes de filet mignon au roquefort,1,2,4,60,7,176,0,No,0,Plat principal
